Project Name,Package Name,Type Name,Method Name,Code Smell
Sistema-Academia,control,TelaRelatorioUltimoAcessoController,initialize,Long Statement
Sistema-Academia,control,Validador,validCpf,Long Statement
Sistema-Academia,control,Validador,validCnpj,Long Statement
Sistema-Academia,control,Validador,validEmail,Long Statement
Sistema-Academia,control,Validador,validPassword,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Complex Conditional
Sistema-Academia,control,Validador,isValidCpf,Long Statement
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isValidCpf,Magic Number
Sistema-Academia,control,Validador,isInvalidCnpjDigits,Long Statement
Sistema-Academia,control,Validador,calculateDigit,Magic Number
Sistema-Academia,control,Validador,calculateDigit,Magic Number
Sistema-Academia,control,Validador,calculateDigit,Magic Number
Sistema-Academia,control,Validador,calculateDigit,Magic Number
Sistema-Academia,control,Validador,calculateDigit,Magic Number
Sistema-Academia,control,Validador,isInvalidCnpjFormat,Magic Number
Sistema-Academia,control,Validador,isValidCnpj,Magic Number
Sistema-Academia,control,Validador,isValidCnpj,Magic Number
Sistema-Academia,control,Validador,isValidCnpj,Magic Number
Sistema-Academia,control,Validador,isValidCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarRg,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCpf,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarCnpj,Magic Number
Sistema-Academia,control,Visualizador,visualizarData,Magic Number
Sistema-Academia,control,Visualizador,visualizarData,Magic Number
Sistema-Academia,control,Visualizador,visualizarData,Magic Number
Sistema-Academia,control,Visualizador,visualizarData,Magic Number
Sistema-Academia,control,Visualizador,visualizarData,Magic Number
Sistema-Academia,control,Visualizador,visualizarData,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarPhone,Magic Number
Sistema-Academia,control,Visualizador,visualizarCell,Magic Number
Sistema-Academia,control,Visualizador,visualizarCell,Magic Number
Sistema-Academia,control,Visualizador,visualizarCell,Magic Number
Sistema-Academia,control,Visualizador,visualizarCell,Magic Number
